time_sec,mean_best_value,valid_runs
0.5,594.93,100
1.0,590.33,100
1.5,589.01,100
2.0,587.49,100
2.5,586.61,100
3.0,586.19,100
3.5,585.72,100
4.0,585.25,100
4.5,585.09,100
5.0,584.9,100
5.5,584.69,100
6.0,584.58,100
6.5,584.5,100
7.0,584.43,100
7.5,584.37,100
8.0,584.33,100
8.5,584.31,100
9.0,584.22,100
9.5,584.22,100
10.0,584.21,100
10.5,584.21,100
11.0,584.21,100
11.5,584.21,100
12.0,584.21,100
12.5,584.21,100
13.0,584.2,100
13.5,584.2,100
14.0,584.18,100
14.5,584.18,100
15.0,584.12,100
15.5,584.12,100
16.0,584.12,100
16.5,584.09,100
17.0,584.07,100
17.5,584.07,100
18.0,584.04,100
18.5,584.04,100
19.0,584.04,100
19.5,584.04,100
20.0,584.03,100
20.5,584.02,100
21.0,584.02,100
21.5,584.02,100
22.0,584.02,100
22.5,584.02,100
23.0,584.02,100
23.5,584.01,100
24.0,584,100
24.5,584,100
25.0,584,100
25.5,584,100
26.0,584,100
26.5,584,100
27.0,584,100
27.5,584,100
28.0,584,100
28.5,584,100
29.0,584,100
29.5,584,100
30.0,584,100
