alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.57859504,0,0.83612,0.371590308,601.46,9795.39,3513158008,316522781.3,E150_1000.3_r100_lk_dr_dest1_rep1_alpha2_ite30.res
4,100,0.61371208,0,1.003344,0.3628484068,601.67,9751.14,3493221656,316469034.9,E150_1000.3_r100_lk_dr_dest1_rep1_alpha4_ite30.res
6,100,0.72073544,0,0.83612,0.2643455967,602.31,8645.96,4077258422,257295566.7,E150_1000.3_r100_lk_dr_dest1_rep1_alpha6_ite30.res
8,100,0.69230736,0,0.83612,0.2881935238,602.14,8592.79,4095159374,255030945.7,E150_1000.3_r100_lk_dr_dest1_rep1_alpha8_ite30.res
10,100,0.75919696,0,1.003344,0.2284962043,602.54,8234.52,4495929943,230101737.7,E150_1000.3_r100_lk_dr_dest1_rep1_alpha10_ite30.res
12,100,0.83110328,0,1.003344,0.1175384182,602.97,8065.96,4713664689,212995770.4,E150_1000.3_r100_lk_dr_dest1_rep1_alpha12_ite30.res
14,100,0.82441432,0,1.003344,0.1701626056,602.93,7819.56,5018954390,196509907.1,E150_1000.3_r100_lk_dr_dest1_rep1_alpha14_ite30.res
16,100,0.86622035,0.167224,1.337793,0.1736542633,603.18,7647.17,5178212900,187056836.8,E150_1000.3_r100_lk_dr_dest1_rep1_alpha16_ite30.res
18,100,0.91137086,0.167224,1.337793,0.1800352684,603.45,7390.03,5343994976,178638054.7,E150_1000.3_r100_lk_dr_dest1_rep1_alpha18_ite30.res
20,100,0.98494952,0.83612,1.505017,0.1424012766,603.89,7182.27,5432578526,173210356.7,E150_1000.3_r100_lk_dr_dest1_rep1_alpha20_ite30.res
22,100,1.00668868,0.83612,1.337793,0.1139389573,604.02,6907.54,5556854430,167413477.8,E150_1000.3_r100_lk_dr_dest1_rep1_alpha22_ite30.res
24,100,1.06354494,0.83612,1.672241,0.199596541,604.36,6718.84,5624426350,164088016.2,E150_1000.3_r100_lk_dr_dest1_rep1_alpha24_ite30.res
