tenure1,tenure2,runs,mean_gap,min_gap,median_gap,std_gap,mean_iterations,mean_candidates,mean_feasibility,file
10,10,100,3.42926829,0.97561,3.414634,1.214733159,29236.52,1788328857,25988133.72,E100_1000.1_r50_lk_ts_t10_t10_ite10.res
10,11,100,3.62560981,0.731707,3.597561,1.361289942,30590.59,1846095470,25094986.88,E100_1000.1_r50_lk_ts_t10_t11_ite10.res
10,12,100,3.8085366,1.097561,3.780488,1.270296946,32614.76,1919492725,24100267.78,E100_1000.1_r50_lk_ts_t10_t12_ite10.res
10,13,100,3.97804882,0.853659,4.02439,1.412834091,34236.5,1972149906,23454022.51,E100_1000.1_r50_lk_ts_t10_t13_ite10.res
10,14,100,3.95,1.097561,3.902439,1.351214872,35656.28,2008429424,22701392.08,E100_1000.1_r50_lk_ts_t10_t14_ite10.res
10,15,100,4.36341465,1.097561,4.268293,1.629668838,37758.76,2062535983,21641101.53,E100_1000.1_r50_lk_ts_t10_t15_ite10.res
10,16,100,4.40731708,1.097561,4.268293,1.582569957,38843.56,2061478286,20813649.03,E100_1000.1_r50_lk_ts_t10_t16_ite10.res
10,17,100,4.35365856,1.097561,4.390244,1.520356801,40728.22,2117215633,20929353.91,E100_1000.1_r50_lk_ts_t10_t17_ite10.res
10,18,100,4.47073173,1.097561,4.390244,1.720745749,42142.62,2142174474,19877463.83,E100_1000.1_r50_lk_ts_t10_t18_ite10.res
10,19,100,4.5487805,1.097561,4.634146,1.560438475,44100.98,2173511773,19595379.76,E100_1000.1_r50_lk_ts_t10_t19_ite10.res
10,1,100,3.51341463,1.097561,3.292683,1.180160164,13682.66,912984592.8,49267486.98,E100_1000.1_r50_lk_ts_t10_t1_ite10.res
10,20,100,4.57317074,1.097561,4.512195,1.647994465,45616.77,2187465994,19061690.77,E100_1000.1_r50_lk_ts_t10_t20_ite10.res
10,21,100,4.83170732,1.097561,4.756098,1.889242658,47378.97,2202972272,18679604.75,E100_1000.1_r50_lk_ts_t10_t21_ite10.res
10,22,100,4.90487808,1.097561,4.756098,1.897953325,49337.57,2233783475,18254299.16,E100_1000.1_r50_lk_ts_t10_t22_ite10.res
