tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805
2,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805
3,10.487805,10.487805,9.268293,10.487805,7.560976,10.487805,8.04878,9.268293,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805,10.487805
4,8.414634,8.414634,8.536585,10.487805,8.170732,8.414634,9.268293,9.02439,8.902439,9.268293,10.487805,10.487805,10.487805,10.487805,9.268293
5,8.170732,6.829268,7.195122,8.414634,8.414634,8.414634,7.073171,8.414634,7.926829,9.268293,9.268293,9.268293,10.487805,10.487805,10.487805
6,6.463415,7.073171,7.073171,6.707317,8.292683,7.682927,7.317073,8.414634,8.170732,8.414634,8.414634,8.414634,8.414634,9.268293,9.268293
7,7.560976,6.585366,7.317073,6.341463,6.95122,6.95122,7.317073,6.829268,7.073171,6.95122,7.073171,8.414634,8.414634,9.02439,9.268293
8,7.682927,6.219512,6.341463,6.585366,6.341463,7.317073,6.829268,7.073171,7.073171,6.707317,7.195122,8.04878,6.829268,9.02439,8.658537
9,7.439024,6.341463,5.365854,6.341463,7.317073,6.585366,5.97561,7.195122,6.829268,6.829268,6.829268,8.414634,8.414634,6.585366,7.439024
10,6.341463,6.341463,5.121951,5.609756,6.219512,5.97561,7.317073,7.439024,6.707317,6.097561,6.585366,6.585366,7.073171,7.439024,9.02439
11,5.609756,6.097561,5.609756,4.756098,7.439024,5.731707,6.097561,6.097561,6.097561,5.853659,6.463415,7.073171,7.073171,6.585366,7.439024
12,5,6.707317,6.585366,5,5,6.097561,7.195122,5.853659,6.097561,7.317073,7.073171,6.829268,7.073171,6.707317,8.414634
13,5.97561,5.609756,4.756098,5.609756,6.341463,5.853659,6.463415,5.487805,6.219512,6.341463,6.95122,6.829268,6.585366,8.414634,7.073171
14,4.878049,5.487805,4.878049,4.512195,6.463415,5,5.365854,6.585366,5.609756,6.585366,5.853659,6.585366,6.463415,7.439024,7.073171
15,6.707317,5.243902,5,4.390244,4.268293,5.487805,5.853659,5.365854,6.463415,6.585366,6.463415,7.073171,6.585366,7.073171,6.463415
16,6.341463,5.487805,4.878049,4.878049,5.121951,4.512195,5.365854,6.097561,6.585366,6.219512,7.073171,6.463415,7.073171,7.073171,6.585366
17,5.365854,4.878049,4.878049,4.146341,5,5,4.512195,5.97561,5.487805,6.463415,6.341463,6.463415,7.073171,6.463415,6.463415
18,5.97561,4.634146,5.121951,4.146341,4.390244,5.121951,5.243902,5.121951,5.853659,6.463415,6.463415,6.463415,6.463415,7.317073,7.195122
19,6.219512,4.634146,4.390244,5.609756,4.634146,5,5.243902,5.121951,5.97561,6.463415,6.097561,6.463415,7.317073,7.073171,7.317073
20,5.365854,4.756098,4.878049,4.756098,5.731707,4.878049,6.463415,5.487805,7.317073,6.097561,6.463415,6.463415,7.073171,7.439024,8.170732
21,5.731707,5.487805,4.390244,5,5.121951,5.243902,5.365854,5.609756,5.853659,6.341463,6.097561,6.341463,7.439024,7.317073,7.926829
22,6.219512,4.634146,5,6.341463,5.487805,5.487805,5.365854,6.463415,5.487805,7.073171,6.463415,7.073171,6.707317,7.317073,8.414634
23,5.609756,5,4.634146,4.878049,4.878049,5.609756,5.731707,5.97561,6.341463,6.463415,6.463415,6.585366,7.317073,6.829268,7.682927
24,5.121951,5,4.878049,5.487805,5.731707,5.365854,6.463415,6.097561,6.95122,7.439024,7.317073,7.439024,7.560976,7.804878,7.439024
25,5.853659,7.073171,5.365854,4.878049,6.097561,5.853659,6.341463,6.585366,7.073171,6.463415,6.707317,8.414634,7.926829,7.317073,8.414634
26,5.609756,5.121951,5.731707,5.609756,5.609756,6.219512,6.341463,6.463415,6.95122,7.317073,7.317073,7.439024,8.414634,8.658537,9.02439
27,5.97561,5.121951,5.609756,6.097561,6.219512,6.585366,6.341463,7.073171,8.170732,8.170732,7.439024,8.658537,8.414634,9.02439,8.170732
28,6.341463,6.097561,5.731707,6.097561,6.341463,6.585366,6.463415,6.463415,6.463415,8.414634,8.658537,9.268293,8.414634,8.414634,8.658537
29,6.707317,6.829268,6.219512,5.853659,6.463415,6.585366,7.073171,7.317073,7.560976,8.414634,9.02439,8.414634,9.756098,9.756098,9.02439
30,6.219512,6.219512,6.219512,6.341463,7.073171,6.463415,8.658537,8.414634,8.170732,8.414634,8.414634,8.658537,9.02439,9.02439,9.268293
