time_sec,mean_value,mean_gap,median_gap,std_gap,valid_runs
0.5,853.39,4.07195122,4.024390244,1.534166239,100
1.0,852.58,3.973170732,3.841463415,1.45695173,100
1.5,852.04,3.907317073,3.780487805,1.460529306,100
2.0,851.66,3.86097561,3.719512195,1.460354442,100
2.5,850.45,3.713414634,3.597560976,1.38215458,100
3.0,849.98,3.656097561,3.536585366,1.336018874,100
3.5,849.86,3.641463415,3.536585366,1.333209393,100
4.0,849.56,3.604878049,3.536585366,1.290414834,100
4.5,849.51,3.598780488,3.536585366,1.295083349,100
5.0,849.08,3.546341463,3.536585366,1.225248887,100
5.5,849.08,3.546341463,3.536585366,1.225248887,100
6.0,848.92,3.526829268,3.475609756,1.225248887,100
6.5,848.76,3.507317073,3.414634146,1.230807508,100
7.0,848.58,3.485365854,3.414634146,1.223469804,100
7.5,848.44,3.468292683,3.414634146,1.222627212,100
8.0,848.23,3.442682927,3.414634146,1.20698854,100
8.5,848.23,3.442682927,3.414634146,1.20698854,100
9.0,848.23,3.442682927,3.414634146,1.20698854,100
9.5,848.12,3.429268293,3.414634146,1.214733183,100
10.0,848.12,3.429268293,3.414634146,1.214733183,100
