tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1.476015,1.476015,1.476015,1.476015,0.369004,0.738007,0.738007,0.553506,0.553506,1.476015,1.107011,1.476015,1.476015,1.476015,1.476015
2,1.291513,0.369004,0.369004,0.369004,0.184502,0,0,0,0.184502,0.184502,0.553506,0.369004,0.553506,0.553506,0.922509
3,0,0,0,0,0,0.184502,0.184502,0.369004,0,0.369004,0,0.184502,0.553506,0.184502,0.369004
4,0,0,0,0,0,0.184502,0,0,0,0.738007,0,0.184502,0.184502,0,0.184502
5,0,0,0,0,0,0,0,0,0,0.369004,0.184502,0,0.184502,0,0.553506
6,0,0,0,0,0,0,0,0.184502,0,0,0.184502,0,0.738007,0.369004,0
7,0,0,0,0,0,0,0.184502,0,0,0.184502,0.184502,0.553506,0.184502,0.184502,0.369004
8,0,0,0,0,0,0,0,0.184502,0,0.369004,0.369004,0.738007,0.369004,0.369004,0.922509
9,0,0,0,0,0,0,0,0,0.184502,0,0.184502,0.184502,0.184502,0.369004,0
10,0,0,0,0,0,0,0.184502,0,0,0,0,0,0.922509,0.369004,1.476015
11,0,0,0,0,0,0,0,0,0,0.369004,0,0.369004,0,0,1.476015
12,0,0,0,0,0,0,0,0,0.738007,0.369004,0.369004,0.738007,0,0,0.184502
13,0,0,0,0,0,0,0,0.184502,0,0,0,0,0.922509,1.476015,0.922509
14,0,0,0,0,0,0,0,0,0,0.369004,0,0.553506,0.184502,1.107011,0.184502
15,0,0,0,0,0,0,0,0,0.369004,0.553506,0.184502,0.922509,0.922509,1.107011,0.553506
16,0,0,0,0,0,0,0,0,0,0.369004,0.738007,0.184502,0.553506,1.476015,0.369004
17,0,0,0,0,0,0,0,0,0.369004,0.184502,1.107011,1.107011,0.738007,0.922509,1.476015
18,0,0,0,0,0,0,0,0.184502,0.184502,0.369004,0.553506,0.738007,0.738007,1.291513,1.107011
19,0,0,0,0,0,0,0,0,0,0.922509,0.369004,0.738007,0.738007,1.476015,1.476015
20,0,0,0,0,0,0,0,0,0,0.553506,0.553506,1.476015,0,1.476015,1.291513
21,0,0,0,0,0,0,0,0,0.369004,0.738007,0,1.476015,1.476015,0.922509,1.476015
22,0,0,0,0,0,0,0,0.184502,0.184502,0.738007,0.553506,0,0,0.369004,0.738007
23,0,0,0,0,0,0,0,0,0.184502,0.553506,1.107011,0,1.476015,1.107011,0.369004
24,0,0,0,0,0,0,0,0,0.738007,0.184502,0.369004,0.922509,0.922509,1.476015,1.476015
25,0,0,0,0,0,0,0.369004,0.553506,0,0.184502,0.369004,0.738007,1.476015,0.738007,1.476015
26,0,0,0,0,0,0,0,0,0.184502,0.738007,1.476015,0.553506,0.184502,1.476015,1.476015
27,0,0,0,0,0,0,0.184502,0,0,0,0.553506,1.476015,1.291513,1.476015,1.476015
28,0,0,0,0,0,0,0,0,0.184502,0.369004,0.184502,0.738007,1.476015,0.738007,0.738007
29,0,0,0,0,0,0,0,0.184502,0.184502,0.369004,0,1.476015,0.369004,0.922509,1.476015
30,0,0,0,0,0,0,0,0,0,0,0.369004,1.107011,1.476015,1.476015,1.476015
