time_sec,mean_best_value,valid_runs
0.5,616.86,100
1.0,614.16,100
1.5,611.49,100
2.0,610.67,100
2.5,609.88,100
3.0,608.75,100
3.5,608.16,100
4.0,607.56,100
4.5,607.29,100
5.0,606.86,100
5.5,606.5,100
6.0,605.96,100
6.5,605.55,100
7.0,605.43,100
7.5,605.29,100
8.0,605.05,100
8.5,604.96,100
9.0,604.78,100
9.5,604.66,100
10.0,604.39,100
10.5,604.23,100
11.0,604.02,100
11.5,603.97,100
12.0,603.78,100
12.5,603.7,100
13.0,603.62,100
13.5,603.54,100
14.0,603.47,100
14.5,603.47,100
15.0,603.47,100
15.5,603.21,100
16.0,602.98,100
16.5,602.92,100
17.0,602.89,100
17.5,602.81,100
18.0,602.81,100
18.5,602.76,100
19.0,602.66,100
19.5,602.62,100
20.0,602.57,100
20.5,602.57,100
21.0,602.57,100
21.5,602.57,100
22.0,602.57,100
22.5,602.53,100
23.0,602.53,100
23.5,602.53,100
24.0,602.49,100
24.5,602.44,100
25.0,602.44,100
25.5,602.44,100
26.0,602.44,100
26.5,602.4,100
27.0,602.36,100
27.5,602.3,100
28.0,602.3,100
28.5,602.21,100
29.0,602.21,100
29.5,602.21,100
30.0,602.21,100
