tenure1,tenure2,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility
1,1,100,7.50652435,2.846975,12.930012,2.124224556,906.28,8937.21,2218851309,43988181.85
1,2,100,7.26453146,1.779359,12.336892,2.151090152,904.24,9163.02,2284154572,43699877.99
1,3,100,7.01186244,1.779359,12.336892,2.15977989,902.11,9216.99,2308776108,43255888.78
1,4,100,6.92408072,1.779359,12.336892,2.110232198,901.37,9498.02,2378650987,42995468.69
1,5,100,6.84104394,1.779359,12.336892,2.148110303,900.67,9975.28,2500292864,42607582.05
1,6,100,6.75563467,1.779359,12.336892,2.065003929,899.95,10443.38,2616140931,41779761.43
1,7,100,6.72835119,1.779359,12.336892,2.111405541,899.72,10887.26,2722317289,41252869.97
1,8,100,6.58837486,1.779359,12.336892,2.077428202,898.54,11296.63,2815637274,40056700.34
1,9,100,6.633452,1.779359,12.336892,2.134078056,898.92,11521.31,2864022389,39279440.21
1,10,100,6.58007124,1.542112,11.150652,2.087259819,898.47,11827.35,2928053635,38650782.2
1,11,100,6.60260976,1.423488,12.336892,2.185967012,898.66,12321.23,3034059719,37644456.3
1,12,100,6.46500595,1.423488,12.336892,2.165340703,897.5,12816.86,3136841170,36728493.11
1,13,100,6.49940688,1.779359,12.336892,2.171423435,897.79,14978.79,3629042407,37788114.64
1,14,100,6.47093713,1.779359,10.438909,2.189745203,897.55,15732.64,3782859062,37393138.84
1,15,100,6.37841045,1.779359,10.438909,2.110717141,896.77,16600.69,3946399691,36539671.97
2,1,100,6.98813767,1.897983,12.930012,2.165511032,901.91,9757.93,2371776972,49161829.96
2,2,100,6.85409259,1.897983,12.811388,2.138329782,900.78,10263.25,2510109410,46996382.93
2,3,100,6.67497039,0.237248,12.336892,2.18828293,899.27,10693.07,2628417412,48227224.26
2,4,100,6.42823254,0.237248,12.336892,2.188921967,897.19,11039.13,2725907875,46378690.17
2,5,100,6.31909851,1.542112,12.336892,2.185358015,896.27,11821.19,2927687147,46250832.94
2,6,100,6.03795975,0.237248,10.557533,2.12271318,893.9,12452.94,3084344077,46073744.72
2,7,100,6.04863586,0.355872,12.57414,2.242728168,893.99,13013.56,3214568140,44581209.86
2,8,100,5.96204037,0.237248,11.032028,2.228111718,893.26,13677.83,3367866533,43360573.66
2,9,100,5.96559908,1.779359,10.794781,2.19129732,893.29,14246.45,3488053132,41513549.81
2,10,100,5.84104392,1.304864,10.676157,2.1535996,892.24,15101.11,3676580371,39556452.19
2,11,100,5.92763938,1.779359,11.032028,2.146813017,892.97,15644.26,3780378371,38153071.31
2,12,100,5.9145908,1.423488,10.794781,2.139223024,892.86,16499.12,3951917327,35517895.03
2,13,100,5.93238439,1.779359,11.032028,2.126459293,893.01,17317.14,4115059935,33644023.83
2,14,100,5.96322657,1.779359,11.032028,2.1094372,893.27,17975.87,4231863828,32325923.31
2,15,100,5.91577701,1.304864,11.032028,2.166663321,892.87,18850.25,4392980943,30567728.37
3,1,100,6.44958487,1.304864,12.336892,2.17967909,897.37,9446.99,2253526045,50320160.42
3,2,100,6.1126928,1.304864,10.083037,2.086783109,894.53,9703.18,2335341660,48559303.06
3,3,100,6.12336893,1.304864,12.336892,2.142194959,894.62,10008.67,2425778039,47371349.17
3,4,100,5.62396208,1.18624,10.913405,2.097289681,890.41,10799.82,2639487432,46767471.62
3,5,100,5.57176752,0.237248,10.676157,2.165009485,889.97,11399.27,2794743260,45396755.43
3,6,100,5.53855286,0.237248,10.083037,2.105784662,889.69,11261.09,2765594591,41788398.43
3,7,100,5.52194547,0.237248,9.964413,2.176789632,889.55,11801.99,2894807731,40698432.57
3,8,100,5.6465006,1.779359,10.320285,2.134432378,890.6,12303.03,3007648211,39016915.29
3,9,100,5.52431796,0.355872,10.083037,2.078032631,889.57,12926.18,3148537787,37249826.09
3,10,100,5.59193356,0.237248,10.083037,2.03076151,890.14,13568.01,3286911465,35426462.15
3,11,100,5.77342828,1.304864,10.083037,2.076376636,891.67,14258.62,3430595606,34462810.08
3,12,100,5.7081851,0.59312,10.320285,2.045564161,891.12,15002.76,3585153788,32923781.03
3,13,100,5.70818509,1.423488,10.083037,2.026996657,891.12,15644.65,3707038937,31317685.26
3,14,100,5.67497034,1.660735,10.083037,2.114744644,890.84,16445.64,3860266140,29532788.96
3,15,100,5.79240807,0.830368,10.557533,2.194911127,891.83,17145.88,3987633366,27803704.16
4,1,100,5.37010671,1.067616,12.336892,2.182298944,888.27,8227.6,1924917258,47061080.18
4,2,100,4.98576512,1.067616,10.083037,2.104012785,885.03,8579.57,2039548230,44282671.72
4,3,100,4.78884937,0.237248,10.083037,2.153172895,883.37,9239.45,2220505497,43006529.09
4,4,100,5.19928829,0.237248,10.913405,2.175593041,886.83,9691.4,2336789620,41688579.03
4,5,100,5.2064057,1.304864,10.557533,2.118852364,886.89,10470.86,2542216034,40678349.68
4,6,100,5.14353505,0.237248,11.032028,2.057704837,886.36,11074.52,2692234168,39529381.42
4,7,100,5.24436539,0.355872,10.083037,2.149978123,887.21,11874.86,2886683901,38620991.55
4,8,100,5.16844606,0.237248,9.845789,2.046118261,886.57,12546.07,3043007315,36922178.99
4,9,100,5.43179127,1.067616,9.964413,2.010239279,888.79,12999.66,3142481847,35683753.45
4,10,100,5.39620408,0.355872,9.727165,2.020268829,888.49,13676.05,3291948868,34471054.62
4,11,100,5.39501789,0.355872,9.489917,1.955195886,888.48,14158.61,3384012763,32954161.8
4,12,100,5.41162522,0.711744,10.201661,2.04886209,888.62,15361.46,3648339110,30701884.98
4,13,100,5.58125744,1.779359,11.032028,2.034422657,890.05,15869.81,3739144043,29411211.88
4,14,100,5.58125748,1.779359,11.032028,1.992917888,890.05,16506.74,3859327274,28171517.94
4,15,100,5.71886124,1.779359,11.032028,2.086840305,891.21,17251.68,3994256787,26433013.93
5,1,100,4.623962,0.59312,9.727165,1.999156261,881.98,8080.04,1866876553,47000376.79
5,2,100,4.07473311,0.237248,10.438909,2.126317532,877.35,8741.64,2054966398,45696779.03
5,3,100,4.06761571,0.355872,9.727165,2.032739585,877.29,9391.11,2235780342,43587145.44
5,4,100,4.46263346,0.237248,9.015421,2.064756499,880.62,9798.93,2344522847,42181396.7
5,5,100,4.76156588,0.237248,9.845789,1.999656692,883.14,10257.61,2464537438,39792453.01
5,6,100,4.99169637,0.237248,9.845789,2.187751815,885.08,11052.22,2661317826,39602724.97
5,7,100,4.90984584,0.237248,9.845789,2.17558262,884.39,11738.82,2828703595,38253362.46
5,8,100,5.01779358,0.355872,9.845789,2.029815077,885.3,12185.82,2933560248,36913772.5
5,9,100,5.13879011,0.237248,9.845789,1.955951863,886.32,13010.86,3125196137,35783667.88
5,10,100,5.22894429,0.237248,9.727165,2.04420181,887.08,13549.59,3239890073,33702464.54
5,11,100,5.27876638,0.355872,9.489917,2.033453104,887.5,14636.7,3477898327,31602750.99
5,12,100,5.37722426,0.355872,9.964413,2.05573767,888.33,15289.59,3609565998,30373445.46
5,13,100,5.36773432,0.355872,9.845789,1.925446774,888.25,16148.49,3783578352,28520743.95
5,14,100,5.62396201,1.779359,9.845789,1.957928534,890.41,16550.15,3846451285,27407351.07
5,15,100,5.67852907,0.355872,10.913405,2.128607843,890.87,17389.24,4006938229,25800824.88
6,1,100,3.69395019,0.237248,9.608541,1.911119883,874.14,8269.69,1882767073,48807549.64
6,2,100,3.64175562,0.237248,9.727165,1.834036988,873.7,8975.45,2091616847,45503088.01
6,3,100,3.81020167,0.237248,8.659549,1.834484892,875.12,9742.68,2297056755,43567401.57
6,4,100,4.00948989,0.237248,8.659549,1.799416488,876.8,9849.28,2337857055,42548578.31
6,5,100,4.21233688,0.355872,9.727165,2.063428478,878.51,10536.8,2508911486,40944310.64
6,6,100,4.62158957,0.355872,9.727165,2.090149633,881.96,11371.56,2714557123,37701658.49
6,7,100,4.71648875,0.237248,10.083037,2.036918646,882.76,11661.19,2788445746,37939343.91
6,8,100,4.88493481,0.355872,9.845789,2.059283345,884.18,12366.64,2954493631,36625730.86
6,9,100,4.88730723,0.59312,9.489917,2.013891944,884.2,13163.99,3137678967,35236684.24
6,10,100,4.98813759,0.474496,9.489917,1.978386619,885.05,14114.71,3350064926,32493335.86
6,11,100,5.20166075,1.542112,9.489917,2.027073414,886.85,14705.94,3474496088,31639129.91
6,12,100,5.3107948,1.660735,9.727165,2.012328317,887.77,15543.05,3649783768,29696964.85
6,13,100,5.38671411,1.660735,9.845789,1.956984543,888.41,16182.03,3774174289,28202809.85
6,14,100,5.36654806,0.474496,10.557533,2.099458999,888.24,16903.16,3920390083,26507904.61
6,15,100,5.52313166,1.660735,9.608541,1.938904856,889.56,17571.64,4038369128,25751755.17
7,1,100,3.72597865,0.237248,8.659549,1.922692757,874.41,8270.81,1868952786,49382186.18
7,2,100,3.33096084,0.237248,8.659549,1.817703158,871.08,9069.43,2094346273,46018477.55
7,3,100,3.5361803,0,8.778173,1.899158447,872.81,9586.99,2240772674,44840086.93
7,4,100,3.65361803,0.237248,8.778173,1.796491418,873.8,10107.97,2377243306,42873381.18
7,5,100,3.82087781,0.355872,9.845789,1.860337507,875.21,10708.7,2531432264,40964012.52
7,6,100,4.08778172,1.304864,8.896797,1.816196544,877.46,11241.79,2662799490,39091415.28
7,7,100,4.38790035,0.59312,9.489917,2.065838,879.99,12121.27,2872678992,36868684.54
7,8,100,4.55278769,0.711744,9.489917,2.048515216,881.38,12565.28,2979003238,35876623.87
7,9,100,4.61447212,0.237248,9.489917,2.174445848,881.9,13423.55,3178255232,34153337.83
7,10,100,4.82680898,0.355872,9.489917,2.086118205,883.69,14123.38,3332614095,32405207.27
7,11,100,4.85409253,0.355872,9.489917,1.921256945,883.92,14898.19,3499280012,31062773.52
7,12,100,5.09608543,0.474496,9.489917,2.055520862,885.96,15474.05,3616050620,29510338.83
7,13,100,5.27283511,1.660735,9.845789,1.942351372,887.45,16241.18,3769456320,27952400.61
7,14,100,5.23724797,0.237248,9.845789,2.088547853,887.15,16638.87,3838090773,27090654.07
7,15,100,5.34875445,0.237248,9.845789,2.199248255,888.09,17425.05,3989690975,25939584.66
8,1,100,3.35824433,0,9.015421,2.048231707,871.31,7811.48,1744648245,49937101.1
8,2,100,3.37959666,0.237248,8.659549,1.920799293,871.49,8966.58,2055040445,46556583.43
8,3,100,3.50296566,0,7.829181,1.817685598,872.53,9782.22,2267264020,44516522.19
8,4,100,3.5646501,0.474496,7.829181,1.595732945,873.05,10541,2463288626,41934904.55
8,5,100,3.67259787,0.474496,7.47331,1.702650988,873.96,10771.95,2528543775,40919539.72
8,6,100,3.82325031,0.59312,8.896797,1.812627011,875.23,11229.62,2644688430,39564726.68
8,7,100,4.0083037,0.355872,7.710558,1.910768488,876.79,12141.12,2858914360,37224724.31
8,8,100,4.3724792,0.355872,9.134045,2.084368104,879.86,12873.96,3028112734,34825489
8,9,100,4.4543298,0.237248,9.371293,2.119287078,880.55,13453.66,3163612152,33465737.21
8,10,100,4.66666667,0.355872,9.252669,1.937870952,882.34,14169.36,3327118790,31936794.94
8,11,100,4.8588375,0.711744,9.489917,2.009505618,883.96,15017.87,3508249113,30150401.85
8,12,100,5.0794781,0.711744,9.489917,2.009821053,885.82,15746.64,3660252385,28911983.69
8,13,100,5.27876636,1.660735,9.845789,1.825024832,887.5,16191.45,3741758884,27779801.03
8,14,100,5.25029657,0.830368,10.438909,1.933053393,887.26,16852.77,3871922461,26801584.32
8,15,100,5.38315541,0.59312,9.845789,1.834601094,888.38,17533.93,4000336382,25821797.13
9,1,100,3.4412811,0,7.829181,1.925012644,872.01,8051.21,1786863268,50122421.96
9,2,100,3.11269272,0,7.947805,1.695892318,869.24,9003.07,2046107705,47127251.05
9,3,100,3.30130487,0.237248,8.778173,1.728429499,870.83,9883.98,2276441941,44497484.78
9,4,100,3.4911032,0.237248,7.710558,1.626337375,872.43,10365.11,2405522726,42867763.14
9,5,100,3.63938313,0.237248,7.591934,1.824509178,873.68,10966.08,2559490855,40336760.95
9,6,100,3.69632263,0.355872,7.354686,1.642379989,874.16,11554.48,2701460239,38800642.17
9,7,100,3.89679713,0.237248,8.185053,1.720625819,875.85,12295.29,2878710177,36646276.34
9,8,100,4.15539737,0.237248,8.896797,1.878445832,878.03,12790.11,2992091702,35883536.47
9,9,100,4.36654808,0.237248,9.015421,1.980635566,879.81,13866.82,3230925512,32121574.07
9,10,100,4.68564651,0.711744,9.489917,2.058670302,882.5,14278.59,3329502840,31321370.01
9,11,100,4.61803089,0.59312,9.489917,2.058722504,881.93,15077.81,3502247641,30062367.91
9,12,100,4.85646498,0.59312,9.489917,1.916304152,883.94,15610.66,3613478200,29141117.47
9,13,100,4.93119812,0.237248,9.845789,1.896429246,884.57,16234.53,3737138548,27538359.53
