tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,10.15136053,9.56972792,9.58333336,9.41156466,9.36734697,9.01700684,9.08503405,8.93877557,9.07482998,9.01360549,9.03401363,9.05952382,9.15816329,9.15306124,9.15816328
2,8.94217687,9.03911567,8.36224499,8.01870753,8.05782318,7.56972793,7.71428574,7.82142862,7.89625854,8.18707487,7.88095238,8.18537418,8.05272113,8.41666671,8.39625855
3,7.81632664,7.1836735,7.50850345,6.61224494,6.23129255,6.68877555,6.48129253,6.94047622,7.32653059,7.35714287,7.17857142,7.43537417,7.44727895,7.6411565,8.1139456
4,5.69217689,5.07823132,4.90136061,5.47448985,5.20068035,5.44217689,5.9914966,6.31972791,6.43707482,6.47959184,6.872449,6.82312929,6.72278912,7.18877548,7.62244905
5,3.38605441,3.19897958,3.54931972,3.8537415,4.75850344,4.79931974,5.18877558,5.36564625,5.66326527,5.76700679,6.09693874,6.38945581,6.41326529,6.67517004,6.47959179
6,2.03231286,2.39965976,2.74149654,3.29931973,3.82482999,4.09693883,5.14115645,4.95748304,5.38945579,5.29081635,5.39625851,5.70578229,6.2602041,6.40476187,6.39285709
7,1.66666649,1.56802706,2.39795914,2.81802721,3.42176872,3.77551024,4.69897962,4.82482998,5.0119048,5.31122453,5.25170064,5.51360544,5.53911566,5.84013606,6.19047618
8,1.34523794,1.53741485,2.00680265,2.67176865,3.03231285,3.4863946,3.81462588,4.49829936,4.31802726,4.54251702,5.0884354,4.81122453,5.3044218,5.29761905,5.95068026
9,1.04421754,1.44897944,1.73979581,1.77551008,2.80952379,3.24489796,3.44217694,4.14115648,4.35034018,4.79081636,4.48129254,4.85034018,5.32653064,5.28061228,5.53741498
10,1.28401344,1.28401343,1.90986382,2.09863931,2.57482993,3.00510207,3.3928572,3.71258505,3.67687076,4.47789121,4.35714283,4.63095241,5.15816324,5.04591839,5.30272106
11,0.92857129,1.24829918,1.68027195,1.99149653,2.5017006,2.76360545,3.12755104,3.5731293,3.68877556,3.92006805,4.3894558,4.43197282,4.54421769,5.16666665,5.63265304
12,1.01870734,1.23979579,1.56292503,1.71598626,2.20238087,2.44727886,2.99319724,3.51700684,3.47448978,3.68027211,4.29421774,4.51360546,4.89795919,4.89455786,5.48809529
13,0.8945577,1.2891155,1.55442159,1.90986377,1.99319722,2.54421761,2.71088432,2.69557815,3.6139455,3.82312923,4.08843543,4.287415,4.8537415,4.80612241,5.26530609
14,0.935374,1.1921767,1.49999983,2.05272096,2.04931963,2.50510201,2.75340133,2.92346938,3.37244895,3.36224483,3.86394564,4.00170071,4.52551019,4.7976191,5.20238098
15,0.89965972,1.3299318,1.63605427,1.70748281,2.10204069,2.21258498,2.48809512,2.89965981,3.33843539,3.45068026,3.78911568,4.15136057,4.54251701,4.61224485,5.22959182
16,0.90306108,1.44047603,1.37074812,1.8469386,2.20408152,2.39625843,2.56122443,2.64455776,3.29421769,3.65816327,4.00340141,3.95578232,4.47108841,4.6445578,5.09013605
17,0.7568026,1.41326513,1.49149641,1.74149638,2.06802703,2.27380946,2.58673461,3.09183675,3.24999996,3.44387758,3.8197279,3.77891158,4.61224488,4.64795918,5.05952381
18,0.80102029,1.29081617,1.49999979,1.72108825,2.1598638,2.2108842,2.61054419,2.84863939,3.14115643,3.44897957,3.8792517,4.29421771,4.54761905,4.72789116,5.23129249
19,0.78911553,1.1683672,1.48299301,1.66496578,1.86224476,2.09183657,2.52210873,2.7465986,3.14625849,3.41156459,3.87074828,4.11224484,4.39625848,4.6003401,5.17346942
20,0.86224476,1.13945563,1.49489778,1.73639439,1.87585019,2.30102034,2.57312914,2.74999994,3.37755098,3.64625853,3.98979596,4.43197282,4.37414961,4.52380949,5.45748299
21,0.80442164,1.01870732,1.15646241,1.57823113,2.11734675,2.19047606,2.64115636,3.10544212,3.43027206,3.81802721,3.66666666,4.46768705,4.44727888,4.67176871,5.34353738
22,0.74659853,0.98129236,1.47108826,1.73129237,1.94387738,2.26870736,2.88095233,2.97619042,3.39115643,3.56292522,3.77891162,4.38945575,4.1445578,4.57142857,5.24149658
23,0.80102029,1.06802704,1.30782297,1.54931957,2.15476185,2.27380942,2.8146258,2.91156461,3.40646256,3.76870745,3.85374148,4.21428573,4.6717687,4.80442175,5.0731292
24,0.8605441,1.02380938,1.27040802,1.55102025,2.0051019,2.3537414,2.72448976,3.00170064,3.23299316,3.89625852,4.08503401,4.25340134,4.37074828,4.92176873,5.11224489
25,0.73299308,1.04761889,1.34353725,1.64625833,1.90986382,2.27551008,2.595238,3.00170066,3.37414969,3.6870748,3.75510199,4.36734694,4.53231294,4.77891151,5.170068
26,0.79251689,0.96258489,1.26700666,1.48979574,1.97789102,2.14625837,2.7193877,2.93027203,3.1887755,3.46598643,4.06462585,4.30102038,4.51190475,5.18707482,5.42176869
27,0.73639445,0.93197264,1.30612227,1.64965965,1.97278896,1.94387737,2.41496588,3.22278905,3.35884351,3.8180272,3.96258501,4.34863945,4.70918366,5.33843538,5.38265302
28,0.78911552,1.01190462,1.37755084,1.60544198,2.1445577,2.33163258,2.61394544,3.05952373,3.42857136,3.90986394,3.65986393,4.43877548,5.10544212,5.30272109,5.30952379
29,0.83843524,1.09523794,1.31292501,1.85204067,2.15136043,2.34523797,2.67346931,2.75850332,3.27210883,3.42176867,3.88775509,4.66666662,4.64115647,5.41496595,5.9234694
30,0.78911552,0.91666652,1.29591821,1.74149646,2.08333321,2.27891143,2.63095231,2.94217684,3.69727892,3.9132653,4.26190474,4.61054418,5.21598633,5.53401355,5.89795916
