tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2.100675926,2.147929618,2.137050757,1.775946992,1.765980443,1.754907042,1.713744654,1.679513055,1.6171169,1.668091351,1.648071475,1.603713878,1.628375369,1.734439113,1.629949106
2,1.890622512,1.773043988,1.716578187,1.689815675,1.614544632,1.741107289,1.641989583,1.712168801,1.622570985,1.666618073,1.610315468,1.571769326,1.677716167,1.639574878,1.658472336
3,1.719515223,1.641749899,1.624600479,1.547165924,1.549497038,1.51502792,1.399415656,1.47154178,1.505979745,1.545959362,1.567455772,1.577276142,1.562203595,1.575093712,1.635606617
4,1.713446322,1.853446321,1.628670465,1.54314306,1.652079109,1.572000676,1.516481573,1.508055866,1.451622123,1.516717535,1.552545933,1.497398548,1.513392543,1.604746439,1.504615819
5,1.641880254,1.564747986,1.512226639,1.543846853,1.532050755,1.532801437,1.516579372,1.519603891,1.461869664,1.497036587,1.445611543,1.555349395,1.619181984,1.433878129,1.631036717
6,1.51016426,1.523085258,1.579469312,1.544765531,1.520387152,1.471788861,1.523601716,1.294856788,1.410115162,1.531644001,1.398904121,1.46283459,1.497511656,1.385334807,1.495577735
7,1.401239708,1.589519876,1.590059697,1.407985882,1.405312768,1.39575404,1.4131017,1.460462718,1.489710575,1.40162274,1.406774487,1.388696319,1.395124359,1.337015892,1.483853477
8,1.599786871,1.602854962,1.550958356,1.439661563,1.503038303,1.44736329,1.447516903,1.38330358,1.495287573,1.476280234,1.458161507,1.496418772,1.418393722,1.413822841,1.412479369
9,1.534794589,1.534811671,1.412486539,1.435447352,1.28727722,1.462281866,1.379728848,1.360459978,1.518644299,1.407393461,1.446753368,1.352768518,1.397110917,1.352462822,1.38231319
10,1.45795632,1.557372776,1.393591276,1.251128374,1.513531021,1.391664005,1.48895236,1.44559388,1.399689596,1.380525278,1.509104728,1.366436824,1.371661491,1.51418742,1.512092658
11,1.468857285,1.347994963,1.380068291,1.358749539,1.440755284,1.363402912,1.446074727,1.408617057,1.425478333,1.347850404,1.433148355,1.346138705,1.338743082,1.395155471,1.358782968
12,1.597037438,1.365877812,1.494524466,1.423965412,1.440030797,1.452866506,1.317766356,1.400066219,1.545082762,1.350416315,1.351066847,1.424381837,1.436149236,1.310632477,1.511771441
13,1.405012162,1.311809442,1.365961541,1.393377093,1.325433374,1.344244627,1.319424383,1.425117426,1.362570666,1.396836411,1.386812459,1.188149729,1.413881132,1.508189789,1.519363297
14,1.524088542,1.432247761,1.391821955,1.532524518,1.391941772,1.440308095,1.303945194,1.401583948,1.399962134,1.387959806,1.308813463,1.38618552,1.288028124,1.383610765,1.266593046
15,1.370044807,1.494042486,1.429394249,1.356093851,1.230509109,1.430558399,1.395243343,1.491641411,1.368289817,1.287462406,1.348756662,1.544904026,1.324951148,1.397935315,1.282781642
16,1.541034565,1.266794804,1.322691978,1.334409402,1.18789421,1.273907415,1.384770468,1.42425259,1.329807915,1.544439503,1.408221878,1.25239448,1.388801662,1.359454873,1.445272414
17,1.543305307,1.259785675,1.405645093,1.238831332,1.324938161,1.361568076,1.378363194,1.46642625,1.087993271,1.264500543,1.365033058,1.171530635,1.423719956,1.358286674,1.51576716
18,1.564231623,1.33507443,1.413989118,1.367516217,1.312421178,1.416880903,1.221844708,1.357789262,1.370493914,1.319712543,1.489137746,1.271801309,1.536009898,1.440584508,1.460207091
19,1.396339887,1.423127281,1.483543296,1.318682119,1.426577136,1.316796153,1.306675097,1.483281417,1.436284075,1.45814042,1.431859945,1.38694651,1.195506241,1.337608434,1.613074719
20,1.42764467,1.416384658,1.287521899,1.394514031,1.454923483,1.340785025,1.445593875,1.514881488,1.437300362,1.532634977,1.405164947,1.549644224,1.570842027,1.560250741,1.481368592
21,1.426028296,1.440308171,1.300989104,1.42330109,1.322186044,1.311945817,1.486749418,1.516348846,1.521311518,1.359945472,1.457568409,1.386266791,1.547813415,1.327815452,1.557178691
22,1.350304561,1.311642279,1.254158221,1.226293155,1.449965898,1.41463617,1.426021153,1.409415724,1.401754042,1.544260685,1.43312694,1.57318364,1.48328273,1.461750769,1.479797515
23,1.328365456,1.49571476,1.280524387,1.28686464,1.22893719,1.421971463,1.466833726,1.465086974,1.444213863,1.445558448,1.396394814,1.431937186,1.469977596,1.461169602,1.555634879
